,Quarter,Tm,Detail,RAI,KAN
0,1.0,Raiders,Mervyn Fernandez 25 yard pass from Jay Schroeder,6,0
1,1.0,Chiefs,Chris Dressel 49 yard pass from Steve DeBerg (Nick Lowery kick),6,7
2,2.0,Raiders,Trey Junkin 3 yard pass from Jay Schroeder (Jeff Jaeger kick),13,7
3,2.0,Chiefs,Nick Lowery 47 yard field goal,13,10
4,2.0,Raiders,Jeff Jaeger 39 yard field goal,16,10
5,2.0,Chiefs,Christian Okoye 8 yard rush (Nick Lowery kick),16,17
6,3.0,Raiders,Jeff Jaeger 40 yard field goal,19,17
7,4.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),19,24
