,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Pete Gogolak 25 yard field goal,0,3
1,1.0,Bears,Cecil Turner 95 yard kickoff return (Mac Percival kick),7,3
2,1.0,Giants,Ron Johnson 12 yard pass from Fran Tarkenton (Pete Gogolak kick),7,10
3,2.0,Giants,Pete Gogolak 20 yard field goal,7,13
4,2.0,Bears,Mac Percival 28 yard field goal,10,13
5,3.0,Bears,Jack Concannon 1 yard rush (Mac Percival kick),17,13
6,4.0,Giants,Pete Gogolak 45 yard field goal,17,16
7,4.0,Bears,Dick Gordon 19 yard pass from Jack Concannon (Mac Percival kick),24,16
