,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Don Greenwood 11 yard rush,6,0
1,2.0,Rams,Tom Colella 3 yard rush (Bob Waterfield kick),13,0
2,2.0,Rams,Fred Gehrke 10 yard rush (Bob Waterfield kick),20,0
3,2.0,Bears,Bob Margarita 1 yard rush (Pete Gudauskas kick),20,7
4,3.0,Bears,Bob Margarita 42 yard pass from Sid Luckman (Pete Gudauskas kick),20,14
5,3.0,Bears,Hugh Gallarneau 2 yard rush (Pete Gudauskas kick),20,21
6,3.0,Rams,Don Greenwood 8 yard rush (Bob Waterfield kick),27,21
7,4.0,Rams,Jim Benton 21 yard pass from Bob Waterfield (Bob Waterfield kick),34,21
8,4.0,Rams,Tom Colella 18 yard pass from Albie Reisz (Bob Waterfield kick),41,21
