,Quarter,Time,Tm,Detail,GNB,NOR
0,1.0,7:36,Packers,Mason Crosby 52 yard field goal,3,0
1,1.0,5:15,Saints,Alvin Kamara 11 yard pass from Drew Brees (Wil Lutz kick),3,7
2,2.0,14:17,Packers,Mason Crosby 33 yard field goal,6,7
3,2.0,10:36,Packers,Allen Lazard 5 yard pass from Aaron Rodgers (Mason Crosby kick),13,7
4,2.0,4:34,Saints,Wil Lutz 45 yard field goal,13,10
5,2.0,0:09,Saints,Emmanuel Sanders 10 yard pass from Drew Brees (Wil Lutz kick),13,17
6,3.0,13:01,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),20,17
7,3.0,5:59,Saints,Wil Lutz 35 yard field goal,20,20
8,3.0,2:26,Packers,Marcedes Lewis 18 yard pass from Aaron Rodgers (Mason Crosby kick),27,20
9,3.0,0:50,Saints,Alvin Kamara 52 yard pass from Drew Brees (Wil Lutz kick),27,27
10,4.0,8:52,Packers,Mason Crosby 49 yard field goal,30,27
11,4.0,2:04,Packers,Robert Tonyan 1 yard pass from Aaron Rodgers (Mason Crosby kick),37,27
12,4.0,0:35,Saints,Wil Lutz 34 yard field goal,37,30
