,Quarter,Time,Tm,Detail,SFO,CHI
0,1,10:17,Bears,Robbie Gould 40 yard field goal,0,3
1,1,5:59,Bears,Robbie Gould 51 yard field goal,0,6
2,1,2:49,49ers,Jimmie Ward 29 yard interception return (Phil Dawson kick failed),6,6
3,2,13:37,Bears,Matt Forte 5 yard rush (Robbie Gould kick),6,13
4,2,6:53,49ers,Shaun Draughn 1 yard rush (Phil Dawson kick),13,13
5,4,3:32,Bears,Ka'Deem Carey 4 yard rush (Robbie Gould kick),13,20
6,4,1:42,49ers,Blaine Gabbert 44 yard rush (Phil Dawson kick),20,20
7,OT,12:50,49ers,Torrey Smith 71 yard pass from Blaine Gabbert,26,20
