,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,Wendell Tyler 1 yard rush (Ray Wersching kick),0,7
1,1.0,49ers,Wendell Tyler 5 yard pass from Joe Montana (Ray Wersching kick),0,14
2,2.0,49ers,Ray Wersching 19 yard field goal,0,17
3,2.0,49ers,Ray Wersching 46 yard field goal,0,20
4,2.0,49ers,Dwight Clark 15 yard pass from Joe Montana (Ray Wersching kick),0,27
5,2.0,Redskins,Mark Moseley 38 yard field goal,3,27
6,3.0,Redskins,Charlie Brown 14 yard pass from Joe Theismann (Mark Moseley kick),10,27
7,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),17,27
8,4.0,49ers,Joe Montana 7 yard rush (Ray Wersching kick),17,34
9,4.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),24,34
10,4.0,49ers,Ray Wersching 38 yard field goal,24,37
11,4.0,Redskins,Virgil Seay 12 yard pass from Joe Theismann (Mark Moseley kick),31,37
