,Quarter,Tm,Detail,BKN,BOS
0,1,Dodgers,Jack Grossman unknown yard pass from Benny Friedman (Benny Friedman kick),7,0
1,3,Dodgers,Jack Grossman unknown yard pass from Benny Friedman (Benny Friedman kick),14,0
