,Quarter,Tm,Detail,CLE,PIT
0,2.0,Browns,Ken Carpenter 24 yard rush (Lou Groza kick),7,0
1,2.0,Browns,Marion Motley 8 yard rush (Lou Groza kick),14,0
2,2.0,Browns,Dante Lavelli 7 yard pass from Otto Graham (Lou Groza kick),21,0
3,4.0,Browns,Carl Taseff 3 yard rush (Lou Groza kick),28,0
