,Quarter,Tm,Detail,NYG,DET
0,2.0,Lions,Bill Dudley 1 yard rush (Roy Zimmerman kick),0,7
1,2.0,Lions,Bill Dudley 1 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,14
2,3.0,Lions,Joe Margucci 14 yard rush (Roy Zimmerman kick),0,21
3,4.0,Lions,Joe Margucci 79 yard pass from Clyde LeForce (Roy Zimmerman kick),0,28
4,4.0,Giants,George Cheverko 20 yard pass from Paul Governali (Ken Strong kick),7,28
5,4.0,Lions,Cecil Souders 20 yard pass from Clyde LeForce (Roy Zimmerman kick),7,35
