,Quarter,Tm,Detail,ATL,WAS
0,2.0,Redskins,Earnest Byner 5 yard pass from Mark Rypien (Chip Lohmiller kick),0,7
1,2.0,Redskins,Desmond Howard 55 yard punt return (Chip Lohmiller kick),0,14
2,2.0,Falcons,Deion Sanders 99 yard kickoff return (Norm Johnson kick),7,14
3,2.0,Redskins,Gary Clark 16 yard pass from Mark Rypien (Chip Lohmiller kick),7,21
4,2.0,Falcons,Michael Haynes 89 yard pass from Chris Miller (Norm Johnson kick),14,21
5,3.0,Redskins,Chip Lohmiller 41 yard field goal,14,24
6,4.0,Falcons,Norm Johnson 24 yard field goal,17,24
