,Quarter,Tm,Detail,RAI,RAM
0,2.0,Raiders,Chris Bahr 27 yard field goal,3,0
1,2.0,Rams,Mike Lansford 52 yard field goal,3,3
2,2.0,Raiders,Chris Bahr 51 yard field goal,6,3
3,3.0,Rams,Mike Lansford 40 yard field goal,6,6
4,4.0,Raiders,Chris Bahr 29 yard field goal,9,6
5,4.0,Raiders,Dokie Williams 21 yard pass from Marc Wilson (Chris Bahr kick),16,6
