,Quarter,Tm,Detail,WAS,BKN
0,2.0,Dodgers,Pug Manders 1 yard rush (Merl Condit kick),0,7
1,2.0,Redskins,Bob Seymour 11 yard pass from Sammy Baugh (Ki Aldrich kick),7,7
2,4.0,Dodgers,Don Wemple 30 yard pass from Dean McAdams,7,13
