,Quarter,Tm,Detail,BUF,DAY
0,1,Triangles,Gene Mayl 15 yard pass from Lou Mahrt,0,6
1,2,Rangers,Al Swain 32 yard pass from Jim Kendrick (Jim Kendrick kick),7,6
