,Quarter,Tm,Detail,WAS,BOS
0,1.0,Redskins,Tommy Mont 33 yard rush,6,0
1,1.0,Redskins,Dick Poillon 8 yard field goal,9,0
2,2.0,Yanks,Ralph Heywood 42 yard pass from Roy Zimmerman (Roy Zimmerman kick),9,7
3,3.0,Redskins,Dick Poillon 4 yard pass from Sammy Baugh (Dick Poillon kick),16,7
4,4.0,Redskins,Tom Farmer 10 yard pass from Sammy Baugh (Dick Poillon kick),23,7
