,Quarter,Time,Tm,Detail,PIT,JAX
0,1.0,9:57,Jaguars,Steve Lindsey 19 yard field goal,0,3
1,1.0,0:41,Steelers,Chris Fuamatu-Ma'afala 5 yard rush (Kris Brown kick),7,3
2,2.0,6:52,Steelers,Kris Brown 19 yard field goal,10,3
3,2.0,3:13,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),17,3
4,2.0,0:31,Jaguars,Steve Lindsey 48 yard field goal,17,6
5,3.0,4:27,Steelers,Jerome Bettis 3 yard rush (Kris Brown kick),24,6
6,4.0,0:09,Jaguars,Keenan McCardell 11 yard pass from Jamie Martin (Steve Lindsey kick),24,13
