,Quarter,Tm,Detail,NOR,GNB
0,1.0,Packers,Chester Marcol 14 yard field goal,0,3
1,2.0,Packers,Al Matthews 58 yard interception return (Chester Marcol kick),0,10
2,2.0,Packers,Chester Marcol 39 yard field goal,0,13
3,2.0,Saints,Bill McClard 22 yard field goal,3,13
4,3.0,Saints,Jubilee Dunbar 29 yard pass from Archie Manning (Bill McClard kick),10,13
5,3.0,Packers,Jerry Tagge 41 yard rush (Chester Marcol kick),10,20
6,4.0,Packers,Jim Carter 42 yard interception return (Chester Marcol kick),10,27
7,4.0,Packers,Chester Marcol 33 yard field goal,10,30
