,Quarter,Tm,Detail,DAL,DET
0,1.0,Cowboys,Drew Pearson 10 yard pass from Danny White (Rafael Septien kick),7,0
1,2.0,Cowboys,Rafael Septien 43 yard field goal,10,0
2,2.0,Cowboys,Drew Pearson 12 yard pass from Danny White (Rafael Septien kick),17,0
3,2.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),17,7
4,3.0,Lions,Mark Nichols 6 yard pass from Eric Hipple (Eddie Murray kick),17,14
5,3.0,Lions,Eddie Murray 37 yard field goal,17,17
6,4.0,Cowboys,Jay Saldi 14 yard pass from Danny White (Rafael Septien kick),24,17
7,4.0,Lions,Billy Sims 81 yard pass from Eric Hipple (Eddie Murray kick),24,24
8,4.0,Lions,Eddie Murray 47 yard field goal,24,27
