,Quarter,Tm,Detail,DUL,HRT
0,1.0,Eskimos,Ernie Nevers 38 yard field goal,3,0
1,3.0,Eskimos,Ernie Nevers 22 yard field goal,6,0
2,3.0,Eskimos,Ernie Nevers 45 yard field goal,9,0
3,4.0,Eskimos,Ernie Nevers unknown yard rush (Ernie Nevers kick),16,0
