,Quarter,Tm,Detail,CHI,DET
0,1,Lions,Steve Owens 1 yard rush (Errol Mann kick),0,7
1,2,Lions,Greg Landry 1 yard rush (Mickey Zofko pass from Greg Landry),0,14
