,Quarter,Tm,Detail,NYJ,CLE
0,1.0,Jets,Pat Leahy 22 yard field goal,3,0
1,1.0,Browns,Matt Bahr 47 yard field goal,3,3
2,2.0,Jets,Pat Leahy 29 yard field goal,6,3
3,3.0,Jets,Pat Leahy 23 yard field goal,9,3
4,4.0,Jets,Roger Vick 1 yard rush (Pat Leahy kick),16,3
5,4.0,Jets,Roger Vick 3 yard rush (Pat Leahy kick),23,3
