,Quarter,Time,Tm,Detail,KAN,PIT
0,1.0,9:15,Steelers,Shaun Suisham 23 yard field goal,0,3
1,1.0,2:06,Chiefs,Cairo Santos 35 yard field goal,3,3
2,2.0,9:25,Chiefs,Cairo Santos 25 yard field goal,6,3
3,2.0,4:18,Steelers,Le'Veon Bell 1 yard rush (Shaun Suisham kick),6,10
4,3.0,0:34,Steelers,Antonio Brown 3 yard pass from Ben Roethlisberger (Shaun Suisham kick),6,17
5,4.0,10:18,Chiefs,Cairo Santos 43 yard field goal,9,17
6,4.0,4:04,Steelers,Shaun Suisham 23 yard field goal,9,20
7,4.0,1:37,Chiefs,Cairo Santos 23 yard field goal,12,20
