,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Scott Laidlaw 1 yard rush (Rafael Septien kick),7,0
1,1.0,Cowboys,Tony Dorsett 16 yard pass from Roger Staubach (Rafael Septien kick),14,0
2,1.0,Eagles,Mike Hogan 1 yard rush (Mike Michel kick),14,7
3,3.0,Cowboys,Tony Dorsett 23 yard rush (Rafael Septien kick),21,7
4,3.0,Cowboys,Rafael Septien 18 yard field goal,24,7
5,4.0,Cowboys,Scott Laidlaw 44 yard pass from Roger Staubach (Rafael Septien kick),31,7
6,4.0,Eagles,Larry Barnes 4 yard rush,31,13
