,Quarter,Time,Tm,Detail,BAL,HOU
0,1.0,10:57,Ravens,Justin Tucker 51 yard field goal,3,0
1,1.0,4:49,Texans,"Safety, Joe Flacco sacked by Connor Barwin in end zone.",3,2
2,1.0,0:30,Texans,Kevin Walter 25 yard pass from Matt Schaub (Shayne Graham kick),3,9
3,2.0,14:51,Texans,Johnathan Joseph 52 yard interception return (Shayne Graham kick),3,16
4,2.0,5:58,Texans,Owen Daniels 1 yard pass from Matt Schaub (Shayne Graham kick),3,23
5,2.0,1:57,Texans,Shayne Graham 33 yard field goal,3,26
6,2.0,0:03,Texans,Shayne Graham 29 yard field goal,3,29
7,3.0,10:36,Ravens,Tandon Doss 15 yard pass from Joe Flacco (Justin Tucker kick),10,29
8,3.0,2:56,Texans,Arian Foster 1 yard rush (Shayne Graham kick),10,36
9,4.0,12:23,Ravens,Justin Tucker 54 yard field goal,13,36
10,4.0,8:48,Texans,Arian Foster 2 yard rush (Shayne Graham kick),13,43
