,Quarter,Tm,Detail,SEA,DEN
0,1.0,Broncos,Rich Karlis 22 yard field goal,0,3
1,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),0,10
2,2.0,Broncos,Rich Karlis 47 yard field goal,0,13
3,2.0,Seahawks,Norm Johnson 43 yard field goal,3,13
4,3.0,Seahawks,Norm Johnson 53 yard field goal,6,13
5,4.0,Broncos,Vance Johnson 34 yard pass from John Elway (Rich Karlis kick),6,20
6,4.0,Seahawks,Steve Largent 24 yard pass from Gale Gilbert (Norm Johnson kick),13,20
