,Quarter,Time,Tm,Detail,CHI,ATL
0,1.0,9:49,Falcons,Hayden Hurst 1 yard pass from Matt Ryan (Younghoe Koo kick failed),0,6
1,1.0,2:47,Bears,Cairo Santos 35 yard field goal,3,6
2,2.0,8:36,Falcons,Younghoe Koo 29 yard field goal,3,9
3,2.0,4:48,Falcons,Brian Hill 35 yard rush (Younghoe Koo kick),3,16
4,2.0,1:55,Bears,Jimmy Graham 2 yard pass from Mitchell Trubisky (Cairo Santos kick),10,16
5,3.0,12:40,Falcons,Todd Gurley 10 yard rush (Younghoe Koo kick),10,23
6,3.0,10:02,Falcons,Younghoe Koo 36 yard field goal,10,26
7,4.0,6:24,Bears,Jimmy Graham 3 yard pass from Nick Foles (pass failed),16,26
8,4.0,4:29,Bears,Allen Robinson 37 yard pass from Nick Foles (Cairo Santos kick),23,26
9,4.0,6:24,Falcons,Mykal Walker defensive extra point return,23,30
10,4.0,2:00,Bears,Anthony Miller 28 yard pass from Nick Foles (Cairo Santos kick),30,30
