,Quarter,Time,Tm,Detail,TEN,OAK
0,1.0,9:12,Raiders,Teyo Johnson 18 yard pass from Kerry Collins (Sebastian Janikowski kick),0,7
1,1.0,3:08,Titans,Drew Bennett 17 yard pass from Billy Volek (Gary Anderson kick),7,7
2,1.0,1:04,Raiders,Jerry Porter 32 yard pass from Kerry Collins (Sebastian Janikowski kick),7,14
3,2.0,8:42,Titans,Drew Bennett 23 yard pass from Billy Volek (Gary Anderson kick),14,14
4,2.0,1:55,Raiders,Jerry Porter 18 yard pass from Kerry Collins (Sebastian Janikowski kick),14,21
5,2.0,1:29,Titans,Ben Troupe 7 yard pass from Billy Volek (Gary Anderson kick),21,21
6,3.0,7:28,Raiders,Doug Gabriel 45 yard pass from Kerry Collins (Sebastian Janikowski kick),21,28
7,3.0,4:30,Raiders,Jerry Porter 3 yard pass from Kerry Collins (Sebastian Janikowski kick),21,35
8,4.0,11:53,Titans,Derrick Mason 3 yard pass from Billy Volek (Gary Anderson kick),28,35
9,4.0,3:39,Raiders,Sebastian Janikowski 42 yard field goal,28,38
10,4.0,1:21,Titans,Billy Volek 1 yard rush (Gary Anderson kick),35,38
11,4.0,0:08,Raiders,"Safety,",35,40
