,Quarter,Tm,Detail,ATL,MIN
0,1.0,Vikings,Fred Cox 43 yard field goal,0,3
1,2.0,Vikings,Bill Martin 15 yard pass from Joe Kapp (Fred Cox kick),0,10
2,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),0,17
3,2.0,Vikings,Bill Brown 37 yard pass from Joe Kapp (Fred Cox kick),0,24
4,2.0,Vikings,Tom Hall 21 yard pass from Joe Kapp (Fred Cox kick),0,31
5,3.0,Falcons,Brendan McCarthy 1 yard rush (Bob Etter kick),7,31
6,3.0,Vikings,Fred Cox 35 yard field goal,7,34
7,4.0,Vikings,Jim Lindsey 2 yard rush,7,40
8,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,47
