,Quarter,Tm,Detail,SFO,MIN
0,2.0,49ers,Delvin Williams 2 yard rush (Ray Wersching kick),7,0
1,2.0,49ers,Ray Wersching 31 yard field goal,10,0
2,3.0,49ers,Dave Williams 80 yard kickoff return (Ray Wersching kick),17,0
3,3.0,49ers,Delvin Williams 5 yard rush (Ray Wersching kick),24,0
4,3.0,Vikings,Brent McClanahan 15 yard pass from Bob Lee (Fred Cox kick),24,7
5,4.0,Vikings,Ahmad Rashad 8 yard pass from Tommy Kramer (Fred Cox kick),24,14
6,4.0,Vikings,Bob Tucker 8 yard pass from Tommy Kramer (Fred Cox kick),24,21
7,4.0,49ers,Ray Wersching 31 yard field goal,27,21
8,4.0,Vikings,Sammy White 69 yard pass from Tommy Kramer (Fred Cox kick),27,28
