,Quarter,Time,Tm,Detail,CAR,PIT
0,1.0,8:35,Steelers,Plaxico Burress 11 yard pass from Tommy Maddox (Jeff Reed kick),0,7
1,1.0,2:40,Panthers,Dee Brown 6 yard pass from Rodney Peete (Shayne Graham kick),7,7
2,2.0,12:14,Steelers,Jeff Reed 36 yard field goal,7,10
3,2.0,6:07,Steelers,Jeff Reed 41 yard field goal,7,13
4,3.0,6:51,Steelers,Jerome Bettis 9 yard rush (Jeff Reed kick),7,20
5,4.0,13:28,Panthers,Dee Brown 1 yard rush (Shayne Graham kick),14,20
6,4.0,7:11,Steelers,Jeff Reed 23 yard field goal,14,23
7,4.0,4:12,Steelers,Jerome Bettis 8 yard rush (Jeff Reed kick),14,30
