,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Ed Marinaro 12 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,1.0,Vikings,Ed Marinaro 8 yard pass from Fran Tarkenton (Fred Cox kick),14,0
2,1.0,Lions,Errol Mann 37 yard field goal,14,3
3,2.0,Lions,Errol Mann 15 yard field goal,14,6
4,2.0,Vikings,Fred Cox 38 yard field goal,17,6
5,2.0,Vikings,Fred Cox 37 yard field goal,20,6
6,3.0,Lions,Errol Mann 33 yard field goal,20,9
7,4.0,Vikings,Fred Cox 27 yard field goal,23,9
