,Quarter,Tm,Detail,ATL,NOR
0,1.0,Falcons,Charlie Brown 17 yard pass from David Archer (Mick Luckhurst kick),7,0
1,2.0,Falcons,Cliff Austin 1 yard rush (Mick Luckhurst kick),14,0
2,2.0,Saints,Morten Andersen 47 yard field goal,14,3
3,3.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),21,3
4,4.0,Falcons,Anthony Allen 19 yard pass from David Archer (Mick Luckhurst kick),28,3
5,4.0,Falcons,Mick Luckhurst 32 yard field goal,31,3
6,4.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),31,10
