,Quarter,Tm,Detail,NYG,ATL
0,1.0,Falcons,Greg Davis 32 yard field goal,0,3
1,2.0,Giants,Paul McFadden 21 yard field goal,3,3
2,2.0,Falcons,John Settle 1 yard rush (Greg Davis kick),3,10
3,3.0,Falcons,Greg Davis 37 yard field goal,3,13
4,3.0,Giants,Paul McFadden 27 yard field goal,6,13
5,4.0,Falcons,Greg Davis 31 yard field goal,6,16
6,4.0,Giants,Paul McFadden 45 yard field goal,9,16
7,4.0,Giants,Ottis Anderson 1 yard rush (Paul McFadden kick),16,16
8,4.0,Giants,Carl Banks 15 yard interception return (Paul McFadden kick),23,16
