,Quarter,Time,Tm,Detail,DAL,NYG
0,1.0,,Cowboys,Chris Boniol 37 yard field goal,3,0
1,2.0,,Giants,Mike Sherrard 49 yard pass from Dave Brown (Brad Daluiso kick),3,7
2,2.0,,Giants,Brad Daluiso 38 yard field goal,3,10
3,3.0,,Cowboys,Blair Thomas 1 yard rush (Chris Boniol kick),10,10
4,3.0,,Giants,"Safety, Peete fumbled ball out of end zone",10,12
5,4.0,,Giants,Brad Daluiso 30 yard field goal,10,15
