,Quarter,Tm,Detail,PRV,FRN
0,2.0,Yellow Jackets,Clyde Crabtree 5 yard rush,0,6
1,2.0,Yellow Jackets,Bob Tanner interception in end zone (Art Pharmer kick),0,13
2,3.0,Yellow Jackets,Herb Joesting 21 yard rush (Art Pharmer kick),0,20
3,4.0,Steam Roller,Frosty Peters unknown yard rush (Frosty Peters kick),7,20
