,Quarter,Tm,Detail,SFO,CLE
0,1.0,Browns,Greg Pruitt 2 yard rush (Don Cockroft kick),0,7
1,2.0,49ers,Ken MacAfee 7 yard pass from Steve DeBerg (Ray Wersching kick),7,7
2,2.0,Browns,Ozzie Newsome 33 yard rush (Don Cockroft kick),7,14
3,4.0,Browns,Reggie Rucker 69 yard pass from Brian Sipe (Don Cockroft kick),7,21
4,4.0,Browns,Don Cockroft 23 yard field goal,7,24
