,Quarter,Time,Tm,Detail,TAM,DEN
0,1.0,4:28,Buccaneers,Matt Bryant 33 yard field goal,3,0
1,2.0,14:56,Broncos,Matt Prater 55 yard field goal,3,3
2,2.0,2:21,Broncos,Matt Prater 40 yard field goal,3,6
3,2.0,0:00,Buccaneers,Matt Bryant 31 yard field goal,6,6
4,3.0,5:41,Broncos,Brandon Stokley 10 yard pass from Jay Cutler (Matt Prater kick),6,13
5,4.0,12:24,Broncos,Matt Prater 27 yard field goal,6,16
6,4.0,2:02,Buccaneers,Ike Hilliard 7 yard pass from Jeff Garcia (Matt Bryant kick),13,16
