,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,7:17,Bengals,Randy Bullock 38 yard field goal,3,0
1,1.0,1:55,Browns,Nick Chubb 11 yard rush (Cody Parkey kick),3,7
2,2.0,12:02,Browns,Odell Beckham Jr. 43 yard pass from Baker Mayfield (Cody Parkey kick),3,14
3,2.0,9:06,Bengals,C.J. Uzomah 23 yard pass from Joe Burrow (Randy Bullock kick),10,14
4,2.0,1:36,Browns,Kareem Hunt 6 yard pass from Baker Mayfield (Cody Parkey kick),10,21
5,2.0,0:06,Bengals,Randy Bullock 43 yard field goal,13,21
6,3.0,5:49,Browns,Nick Chubb 1 yard rush (Cody Parkey kick),13,28
7,3.0,0:23,Bengals,Randy Bullock 27 yard field goal,16,28
8,4.0,5:59,Bengals,Mike Thomas 4 yard pass from Joe Burrow (Randy Bullock kick),23,28
9,4.0,3:59,Browns,Kareem Hunt 1 yard rush (Cody Parkey kick),23,35
10,4.0,0:48,Bengals,Tyler Boyd 9 yard pass from Joe Burrow (Randy Bullock kick),30,35
