,Quarter,Tm,Detail,NYJ,RAI
0,1.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),0,7
1,2.0,Raiders,Dokie Williams 41 yard pass from Jim Plunkett (Chris Bahr kick),0,14
2,2.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),0,21
3,3.0,Raiders,Stacey Toran 76 yard interception return (Chris Bahr kick),0,28
4,4.0,Raiders,Chris Bahr 20 yard field goal,0,31
