,Quarter,Time,Tm,Detail,HOU,STL
0,1.0,3:30,Texans,Kris Brown 27 yard field goal,3,0
1,2.0,7:25,Rams,Josh Brown 33 yard field goal,3,3
2,2.0,4:20,Texans,Kris Brown 25 yard field goal,6,3
3,2.0,1:47,Rams,Danny Amendola 2 yard pass from Keith Null (Josh Brown kick),6,10
4,3.0,5:15,Texans,Kevin Walter 3 yard pass from Matt Schaub (Kris Brown kick),13,10
5,3.0,1:25,Rams,Josh Brown 52 yard field goal,13,13
6,4.0,4:36,Texans,Kris Brown 28 yard field goal,16,13
