,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,Roger LeClerc 45 yard field goal,0,3
1,1.0,Bears,Joe Marconi 23 yard pass from Billy Wade (Bob Jencks kick),0,10
2,2.0,Eagles,Tommy McDonald 5 yard pass from King Hill (Mike Clark kick),7,10
3,3.0,Bears,Willie Galimore 7 yard rush,7,16
