,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Jim Benton 45 yard pass from Bob Snyder,6,0
1,2.0,Bears,Bert Johnson 3 yard rush (Jack Manders kick),6,7
2,2.0,Rams,Nels Peterson 13 yard field goal,9,7
3,3.0,Bears,Eggs Manske 44 yard pass from Bernie Masterson (Joe Maniaci kick),9,14
4,3.0,Rams,Jim Benton 14 yard pass from Dick Tuckey (Dick Tuckey kick),16,14
5,4.0,Bears,Sam Francis 1 yard rush (Joe Maniaci kick),16,21
6,4.0,Rams,Corby Davis 3 yard rush (Dick Tuckey kick),23,21
