,Quarter,Tm,Detail,NYG,NOR
0,1.0,Saints,Morten Andersen 19 yard field goal,0,3
1,2.0,Giants,Stephen Baker 46 yard pass from Jeff Rutledge (Raul Allegre kick),7,3
2,2.0,Saints,Barry Word 1 yard rush (Morten Andersen kick),7,10
3,2.0,Saints,Morten Andersen 43 yard field goal,7,13
4,3.0,Giants,Mark Bavaro 22 yard pass from Jeff Rutledge (Raul Allegre kick),14,13
5,4.0,Saints,Eric Martin 22 yard pass from Bobby Hebert (Morten Andersen kick),14,20
6,4.0,Saints,Morten Andersen 28 yard field goal,14,23
