,Quarter,Time,Tm,Detail,LAR,NWE
0,2.0,10:29,Patriots,Stephen Gostkowski 42 yard field goal,0,3
1,3.0,2:11,Rams,Greg Zuerlein 53 yard field goal,3,3
2,4.0,7:00,Patriots,Sony Michel 2 yard rush (Stephen Gostkowski kick),3,10
3,4.0,1:12,Patriots,Stephen Gostkowski 41 yard field goal,3,13
