,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Roy Gerela 43 yard field goal,0,3
1,2.0,Browns,Gary Collins 1 yard pass from Bill Nelsen (Don Cockroft kick),7,3
2,3.0,Browns,Bo Scott 2 yard rush (Don Cockroft kick),14,3
3,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),21,3
4,4.0,Oilers,Jim Beirne 9 yard pass from Jerry Rhome (Roy Gerela kick),21,10
