,Quarter,Tm,Detail,DEN,BUF
0,2.0,Bills,Andre Reed 9 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,2.0,Bills,"Safety, Riddick blocked punt through end zone",0,9
2,2.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),0,16
3,2.0,Bills,"Safety, Tasker blocked punt through end zone",0,18
4,3.0,Bills,Scott Norwood 30 yard field goal,0,21
5,3.0,Broncos,Sammy Winder 6 yard rush (Rich Karlis kick),7,21
6,4.0,Broncos,Vance Johnson 15 yard pass from John Elway (Rich Karlis kick),14,21
