,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,John Aveni 41 yard pass from Norm Snead (John Aveni kick),7,0
1,1.0,Cardinals,Prentice Gautt 2 yard rush (Gerry Perry kick),7,7
2,2.0,Redskins,Jim Cunningham 8 yard rush (John Aveni kick),14,7
3,2.0,Redskins,John Aveni 37 yard field goal,17,7
4,3.0,Cardinals,Gerry Perry 38 yard field goal,17,10
5,3.0,Cardinals,Bobby Joe Conrad 32 yard pass from John David Crow (Gerry Perry kick),17,17
6,4.0,Cardinals,Sonny Randle 3 yard pass from Sam Etcheverry (Gerry Perry kick),17,24
7,4.0,Cardinals,Bobby Joe Conrad 43 yard pass from Sam Etcheverry (Gerry Perry kick),17,31
8,4.0,Cardinals,Prentice Gautt 1 yard rush (Gerry Perry kick),17,38
9,4.0,Redskins,Tom Osborne 60 yard pass from Norm Snead (John Aveni kick),24,38
