,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Tony Franklin 32 yard field goal,0,3
1,2.0,Cardinals,Doug Marsh 8 yard pass from Jim Hart (Neil O'Donoghue kick),7,3
2,3.0,Eagles,"Safety, Ferrell fumbled out of end zone",7,5
3,3.0,Eagles,Michael Haddix 2 yard rush,7,11
4,4.0,Cardinals,Roy Green 26 yard pass from Jim Hart (Neil O'Donoghue kick),14,11
