,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Mel Triplett 10 yard pass from George Shaw (Pat Summerall kick),0,7
1,1.0,Giants,Joe Morrison 1 yard rush (Pat Summerall kick),0,14
2,1.0,Cowboys,L.G. Dupre 5 yard rush (Fred Cone kick),7,14
3,2.0,Giants,Kyle Rote 28 yard pass from George Shaw (Pat Summerall kick),7,21
4,2.0,Cowboys,L.G. Dupre 21 yard pass from Eddie LeBaron (Fred Cone kick),14,21
5,2.0,Cowboys,Fred Cone 11 yard field goal,17,21
6,3.0,Giants,Pat Summerall 26 yard field goal,17,24
7,4.0,Cowboys,L.G. Dupre 23 yard pass from Eddie LeBaron (Fred Cone kick),24,24
8,4.0,Giants,Bob Schnelker 26 yard pass from Lee Grosscup (Pat Summerall kick),24,31
9,4.0,Cowboys,Billy Howton 11 yard pass from Eddie LeBaron (Fred Cone kick),31,31
