,Quarter,Tm,Detail,PIT,GNB
0,1.0,Pirates,Armand Niccolai 30 yard field goal,3,0
1,1.0,Packers,Joe Laws 12 yard pass from Bob Monnett (Tiny Engebretsen kick),3,7
2,2.0,Packers,Don Hutson 21 yard pass from Arnie Herber (Ade Schwammel kick),3,14
3,2.0,Packers,Paul Miller 2 yard rush (Ernie Smith kick),3,21
4,2.0,Packers,Johnny Blood 58 yard interception return (Clarke Hinkle kick),3,28
5,3.0,Packers,Paul Miller 7 yard pass from Johnny Blood (Johnny Blood run),3,35
6,3.0,Packers,Don Hutson 11 yard pass from Arnie Herber (Ade Schwammel kick),3,42
7,4.0,Pirates,Bull Karcis 1 yard rush (Bull Karcis run),10,42
