,Quarter,Tm,Detail,OAK,KAN
0,2.0,Raiders,George Blanda 21 yard field goal,3,0
1,2.0,Chiefs,Jan Stenerud 47 yard field goal,3,3
2,2.0,Chiefs,Jan Stenerud 41 yard field goal,3,6
3,3.0,Chiefs,Jan Stenerud 29 yard field goal,3,9
4,4.0,Chiefs,Willie Lanier 17 yard interception return (Jan Stenerud kick),3,16
