,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Joe Morris 9 yard rush (Eric Schubert kick),0,7
1,2.0,Steelers,Gary Anderson 26 yard field goal,3,7
2,2.0,Giants,Joe Morris 65 yard rush (Eric Schubert kick),3,14
3,2.0,Giants,Joe Morris 1 yard rush (Eric Schubert kick),3,21
4,2.0,Giants,Bobby Johnson 23 yard pass from Phil Simms (Eric Schubert kick),3,28
5,3.0,Steelers,John Stallworth 34 yard pass from Scott Campbell (Gary Anderson kick),10,28
