,Quarter,Tm,Detail,KAN,RAI
0,2.0,Chiefs,Nick Lowery 35 yard field goal,3,0
1,2.0,Raiders,Marcus Allen 3 yard rush (Jeff Jaeger kick),3,7
2,2.0,Chiefs,Emile Harry 19 yard pass from Steve DeBerg (Nick Lowery kick),10,7
3,2.0,Raiders,Jeff Jaeger 50 yard field goal,10,10
4,3.0,Chiefs,Bill Jones 11 yard pass from Steve DeBerg (Nick Lowery kick),17,10
5,3.0,Raiders,Marcus Allen 10 yard rush (Jeff Jaeger kick),17,17
6,3.0,Chiefs,Nick Lowery 36 yard field goal,20,17
7,4.0,Chiefs,Bill Jones 11 yard pass from Steve DeBerg (Nick Lowery kick),27,17
8,4.0,Raiders,Marcus Allen 5 yard rush (Jeff Jaeger kick),27,24
