,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Brig Owens 45 yard interception return (Gene Mingo kick),0,7
1,2.0,Cardinals,Bobby Joe Conrad 11 yard pass from Jim Hart (Jim Bakken kick),7,7
2,2.0,Cardinals,Jim Bakken 35 yard field goal,10,7
3,2.0,Redskins,Sonny Jurgensen 1 yard rush (Gene Mingo kick),10,14
4,3.0,Cardinals,Jim Bakken 17 yard field goal,13,14
5,4.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),20,14
6,4.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),27,14
7,4.0,Redskins,Bobby Mitchell 65 yard pass from Sonny Jurgensen (Gene Mingo kick),27,21
