,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,7:29,Vikings,Michael Bennett 25 yard rush (Aaron Elling kick),0,7
1,3.0,12:11,Lions,Corey Harris 35 yard defensive fumble return (Jason Hanson kick),7,7
2,4.0,2:45,Vikings,Aaron Elling 24 yard field goal,7,10
3,4.0,2:26,Vikings,Corey Chavous 32 yard interception return (Aaron Elling kick),7,17
4,4.0,2:06,Vikings,Brian Williams 42 yard interception return (Aaron Elling kick),7,24
5,4.0,0:35,Lions,Az-Zahir Hakim 5 yard pass from Joey Harrington (Jason Hanson kick),14,24
