,Quarter,Time,Tm,Detail,JAX,DEN
0,1.0,,Jaguars,Mike Hollis 47 yard field goal,3,0
1,1.0,,Broncos,Anthony Miller 62 yard pass from John Elway (Jason Elam kick),3,7
2,2.0,,Broncos,Shannon Sharpe 6 yard pass from John Elway (Jason Elam kick),3,14
3,2.0,,Broncos,Jerry Evans 5 yard pass from John Elway (Jason Elam kick),3,21
4,2.0,,Jaguars,Jimmy Smith fumble recovery in end zone (Mike Hollis kick),10,21
5,3.0,,Broncos,Mike Pritchard 45 yard pass from John Elway (Jason Elam kick),10,28
6,3.0,4:39,Jaguars,Jimmy Smith 89 yard touchdown on a lateral (pass failed),16,28
7,4.0,4:39,Broncos,Jason Elam 38 yard field goal,16,31
8,4.0,4:39,Jaguars,Jimmy Smith 14 yard pass from Steve Beuerlein (Mike Hollis kick),23,31
