,Quarter,Tm,Detail,TAM,HOU
0,1.0,Oilers,Toni Fritsch 21 yard field goal,0,3
1,2.0,Oilers,Toni Fritsch 33 yard field goal,0,6
2,2.0,Oilers,Mike Barber 17 yard pass from Ken Stabler (Toni Fritsch kick),0,13
3,2.0,Buccaneers,Gordon Jones 17 yard pass from Doug Williams (Garo Yepremian kick),7,13
4,3.0,Oilers,Rob Carpenter 10 yard rush (Toni Fritsch kick),7,20
5,4.0,Buccaneers,Cedric Brown 80 yard defensive fumble return (Garo Yepremian kick),14,20
