,Quarter,Tm,Detail,NOR,CLE
0,1.0,Saints,Rich Szaro 28 yard field goal,3,0
1,2.0,Saints,Alvin Maxson 1 yard rush (Rich Szaro kick),10,0
2,3.0,Browns,Don Cockroft 28 yard field goal,10,3
3,3.0,Saints,Alvin Maxson 1 yard rush (run failed),16,3
4,4.0,Browns,Reggie Rucker 22 yard pass from Mike Phipps (Don Cockroft kick),16,10
5,4.0,Browns,Greg Pruitt 8 yard rush (Don Cockroft kick),16,17
