,Quarter,Time,Tm,Detail,DEN,KAN
0,2.0,9:11,Chiefs,Jamaal Charles 34 yard rush (Cairo Santos kick),0,7
1,2.0,6:27,Chiefs,Marcus Peters 55 yard interception return (Cairo Santos kick),0,14
2,2.0,2:31,Broncos,Emmanuel Sanders 16 yard pass from Peyton Manning (Brandon McManus kick),7,14
3,2.0,0:48,Broncos,Virgil Green 1 yard pass from Peyton Manning (Brandon McManus kick),14,14
4,3.0,9:47,Chiefs,Cairo Santos 35 yard field goal,14,17
5,3.0,3:18,Broncos,Brandon McManus 54 yard field goal,17,17
6,4.0,2:27,Chiefs,Knile Davis 8 yard rush (Cairo Santos kick),17,24
7,4.0,0:36,Broncos,Emmanuel Sanders 19 yard pass from Peyton Manning (Brandon McManus kick),24,24
8,4.0,0:27,Broncos,Bradley Roby 21 yard defensive fumble return (Brandon McManus kick),31,24
