,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,8:28,Bears,Connor Barth 30 yard field goal,0,3
1,2.0,12:44,Bears,Connor Barth 28 yard field goal,0,6
2,2.0,7:49,Bears,Jordan Howard 2 yard rush (Connor Barth kick),0,13
3,2.0,0:25,Vikings,Blair Walsh 30 yard field goal,3,13
4,3.0,9:52,Bears,Alshon Jeffery 11 yard pass from Jay Cutler (Connor Barth kick),3,20
5,4.0,5:41,Vikings,Stefon Diggs 25 yard pass from Sam Bradford (Blair Walsh kick),10,20
