,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,David Treadwell 42 yard field goal,3,0
1,2.0,Broncos,Steve Sewell 2 yard rush (David Treadwell kick),10,0
2,2.0,Chargers,Craig McEwen 1 yard pass from John Friesz (John Carney kick),10,7
3,4.0,Broncos,Greg Lewis 2 yard rush (David Treadwell kick),17,7
4,4.0,Chargers,Rod Bernstine 1 yard rush (John Carney kick),17,14
