,Quarter,Time,Tm,Detail,NOR,ATL
0,1,11:45,Saints,Ted Ginn Jr. 4 yard pass from Drew Brees (Wil Lutz kick),7,0
1,1,2:45,Falcons,Calvin Ridley 18 yard pass from Matt Ryan (Matt Bryant kick),7,7
2,2,9:37,Saints,Wil Lutz 49 yard field goal,10,7
3,2,3:06,Saints,Wil Lutz 21 yard field goal,13,7
4,2,2:12,Falcons,Calvin Ridley 75 yard pass from Matt Ryan (Matt Bryant kick),13,14
5,2,0:06,Saints,Wil Lutz 45 yard field goal,16,14
6,3,12:00,Falcons,Calvin Ridley 9 yard pass from Matt Ryan (Matt Bryant kick),16,21
7,3,6:07,Saints,Cameron Meredith 11 yard pass from Drew Brees (Wil Lutz kick),23,21
8,4,14:11,Falcons,Tevin Coleman 5 yard pass from Matt Ryan (Austin Hooper pass from Matt Ryan),23,29
9,4,9:59,Saints,Zach Line 1 yard pass from Drew Brees (Wil Lutz kick),30,29
10,4,6:58,Falcons,Mohamed Sanu 5 yard pass from Matt Ryan (Mohamed Sanu pass from Matt Ryan),30,37
11,4,1:15,Saints,Drew Brees 7 yard rush (Wil Lutz kick),37,37
12,OT,2:55,Saints,Drew Brees 1 yard rush,43,37
