,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Jack Manders 16 yard field goal,0,3
1,2.0,Bears,Jack Manders 40 yard field goal,0,6
2,2.0,Giants,Red Badgro 29 yard pass from Harry Newman (Ken Strong kick),7,6
3,3.0,Bears,Jack Manders 28 yard field goal,7,9
4,3.0,Giants,Max Krause 1 yard rush (Ken Strong kick),14,9
5,3.0,Bears,Bill Karr 8 yard pass from Bronko Nagurski (Jack Manders kick),14,16
6,4.0,Giants,Ken Strong 8 yard pass from Harry Newman (Ken Strong kick),21,16
7,4.0,Bears,Bill Karr 19 yard touchdown on a lateral (Carl Brumbaugh kick),21,23
