,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Roger Wehrli 18 yard rush (Neil O'Donoghue kick),0,7
1,2.0,Cardinals,Roy Green 8 yard pass from Neil Lomax (Neil O'Donoghue kick),0,14
2,2.0,Giants,Rob Carpenter 1 yard rush (Joe Danelo kick),7,14
3,3.0,Cardinals,Neil O'Donoghue 18 yard field goal,7,17
4,4.0,Giants,John Mistler 13 yard pass from Scott Brunner (Joe Danelo kick),14,17
5,4.0,Giants,John Mistler 3 yard pass from Scott Brunner (Joe Danelo kick),21,17
6,4.0,Cardinals,Roy Green 8 yard pass from Neil Lomax (Neil O'Donoghue kick),21,24
