,Quarter,Tm,Detail,BUF,NWE
0,2.0,Bills,Scott Norwood 38 yard field goal,3,0
1,2.0,Patriots,Cedric Jones 41 yard pass from Steve Grogan (Teddy Garcia kick),3,7
2,2.0,Patriots,Stanley Morgan 19 yard pass from Steve Grogan (Teddy Garcia kick),3,14
3,3.0,Bills,Scott Norwood 44 yard field goal,6,14
4,4.0,Bills,Robb Riddick 3 yard pass from Jim Kelly (Scott Norwood kick),13,14
5,4.0,Bills,Scott Norwood 41 yard field goal,16,14
